Word,Socialness,LgSUBTLWF,OLD,PLD,Concreteness,Imageability,BOI,SER,Auditory.Lancaster,Gustatory.Lancaster,Haptic.Lancaster,Interoceptive_Lancaster,Olfactory.Lancaster,Visual.Lancaster,Foot_leg.Lancaster,Hand_arm.Lancaster,Head.Lancaster,Mouth.Lancaster,Torso.Lancaster,Minkowski3.perceptual.Lancaster,Exclusivity.perceptual.Lancaster,Valence_Warriner,Arousal_Warriner,Dominance.Warriner,Val_pos,Val_neg,Val_ext,Valence.Mohammad,Arousal.Mohammad,Dominance.Mohammad,SemanticDiversity,AoA.Rating,AoA.Test,GenderAssociation,Emotion.Troche,Polarity.Troche,Social.Troche,Moral.Troche,Thought.Troche,Social.Binder,Human.Binder,Communication.Binder,Self.Binder,Cognition.Binder,Benefit.Binder,Harm.Binder,Pleasant.Binder,Unpleasant.Binder,Happy.Binder,Sad.Binder,Angry.Binder,Disgusted.Binder,Fearful.Binder,Surprised.Binder,ANS
abandonment,4.681818182,1.699,4.4,4.45,2.54,NA,NA,NA,2.133333333,0.066666667,1.2,2.933333333,0.066666667,3,0.523809524,0.428571429,2.142857143,0.714285714,0.333333333,3.993266449,0.312056738,2.63,4.95,2.64,NA,2.63,2.37,0.128,0.43,0.202,1.95,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54690212
abdomen,2.217391304,2.236,3,3,4.7,NA,5.434782609,NA,0.588235294,0.235294118,3.294117647,2.352941176,0.235294118,3.647058824,0.263157895,1.315789474,0.947368421,0.210526316,4.157894737,4.602756587,0.329545455,5.43,3.68,5.15,5.43,NA,0.43,0.469,0.462,0.471,1.23,8.61,6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.560193837
abdominal,2.285714286,2.243,3.75,4,4.28,NA,3.92,NA,0.933333333,0.2,3.2,2.733333333,0.2,3.8,0.333333333,0.476190476,0.857142857,0.380952381,4.142857143,4.775249829,0.325301205,4.48,3.5,5.32,NA,4.48,0.52,0.49,0.456,0.445,1.08,10.24,6,4.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561240137
abduct,5,1.568,2.5,2.55,2.88,4.8,1.791666667,4.1,1.736842105,0,1,0.578947368,0.105263158,2.894736842,1.95,2.55,2.35,1.85,1.7,3.130910426,0.458333333,2.42,5.9,2.75,NA,2.42,2.58,0.173,0.72,0.615,NA,11.26,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371569633
abduction,5.285714286,2.269,2.7,2.65,3.07,NA,NA,NA,2.058823529,0,1.529411765,2.176470588,0,4,1.80952381,2.333333333,1.952380952,1.476190476,1.333333333,4.424489624,0.409638554,2.05,5.33,3.02,NA,2.05,2.95,0.062,0.99,0.673,1.48,11.94,10,4.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532117784
ability,4.782608696,2.992,2.3,2.3,1.81,NA,NA,NA,1.222222222,0.277777778,0.833333333,2.555555556,0.166666667,2,2.454545455,2.545454545,2.727272727,1.954545455,1.954545455,3.004457885,0.338582677,7,4.85,6.55,7,NA,2,0.875,0.51,0.816,2.06,8.84,2,4.206,4.52,4.85,4.24,4.65,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66938442
abject,3.5,1.322,2.35,2.75,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.94,4.35,NA,4,1,0.354,0.59,0.417,1.88,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294056445
ablaze,2.565217391,1.342,2.25,1.95,3.82,NA,2.08,NA,1.470588235,0,1.117647059,0.823529412,0.941176471,3.705882353,0.388888889,0.555555556,2.277777778,0.722222222,0.333333333,3.845429492,0.459854015,5.15,6.75,4.58,5.15,NA,0.15,0.24,0.847,0.525,1.66,10.83,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387351662
abomination,4.571428571,1.771,NA,NA,2.23,NA,NA,NA,1.75,0.05,0.35,1.35,0.15,3.2,0.65,1.05,2.8,1.2,0.75,3.437929533,0.459854015,2.5,5.9,3.8,NA,2.5,2.5,0.078,0.755,0.518,NA,11.17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352184355
abort,4.04,2.373,1.95,1.9,2.83,4.1,1.541666667,3,2.0625,0,0.375,1.5,0,2.8125,0.80952381,1.333333333,1.523809524,0.80952381,0.761904762,3.253801641,0.416666667,3.1,5.8,3.38,NA,3.1,1.9,0.153,0.686,0.429,1.28,12.21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391536266
abrasive,3.666666667,1.38,2.9,2.7,3.03,NA,1.814814815,NA,1.333333333,0.466666667,4.266666667,0.8,0.4,2,2.315789474,4.368421053,1.842105263,1.947368421,1.526315789,4.460063012,0.417266187,4.26,6.1,4.94,NA,4.26,0.74,0.392,0.61,0.593,1.5,12.22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4549115
abrupt,2.363636364,1.771,2.7,2.55,2.27,3.1,NA,3.1,2.368421053,0,0.631578947,1.578947368,0,2,1.2,1,1.8,1.65,1.1,2.942375408,0.36,3.28,5.23,3.75,NA,3.28,1.72,0.271,0.819,0.545,1.83,10.95,8,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504546404
absence,3.916666667,2.509,2.65,2.65,2.31,4.2,NA,2.82,1.736842105,0.631578947,1.052631579,1.421052632,0.684210526,3.210526316,0.619047619,0.666666667,2.571428571,1.095238095,1,3.501769955,0.295180723,3.86,4.3,4.24,NA,3.86,1.14,0.153,0.235,0.266,2.16,7.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651322067
absinthe,2.476190476,NA,NA,NA,4.3,NA,4.590909091,NA,0.076923077,4.230769231,0.846153846,2.461538462,2.538461538,2.846153846,1.25,1.9375,2.9375,4.125,1.4375,5.074384783,0.319526627,3.53,3.7,3.95,NA,3.53,1.47,0.481,0.51,0.462,NA,16.29,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
absorb,2.166666667,2.009,2.55,2.5,3.11,4.5,2.12,3.5,0.333333333,0.194444444,2.194444444,0.916666667,0.055555556,3.388888889,1.095238095,1.714285714,2,1.380952381,1.142857143,3.691440556,0.470588235,5.5,4.27,5.62,5.5,NA,0.5,0.469,0.558,0.67,1.96,8.83,6,3.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.560882807
abstain,3.7,1.431,2.75,2.6,2.38,NA,NA,NA,0.6875,0.5,0.625,2.125,0.3125,1.125,0.578947368,0.894736842,2.368421053,0.894736842,0.842105263,2.273040014,0.337209302,4.4,3.1,6.08,NA,4.4,0.6,0.385,0.385,0.427,1.69,12.95,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.360769302
abuse,4.954545455,2.719,1.8,1.85,2.71,4.9,2.321428571,3,3,0.1,2.7,2.65,0.05,4.2,2.052631579,2.789473684,3.052631579,2.736842105,1.842105263,5.184839348,0.326771654,1.53,6.21,2.9,NA,1.53,3.47,0.071,0.873,0.469,1.66,8.61,6,5.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622949123
accelerant,2.363636364,NA,NA,NA,3.4,NA,NA,NA,0.578947368,0.052631579,0.736842105,1.052631579,1,2.210526316,1.315789474,1.947368421,1.894736842,0.684210526,0.631578947,2.384751768,0.38317757,4.59,4.81,6.04,NA,4.59,0.41,0.643,0.844,0.802,NA,12.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acceleration,2.304347826,1.653,3.2,3.65,2.97,NA,NA,NA,2.529411765,0.411764706,1.764705882,2.117647059,0.705882353,3.882352941,3.5,1.4,2.45,0.25,1.8,4.48329582,0.304123711,6.19,6.73,5.76,6.19,NA,1.19,0.704,0.905,0.843,1.44,9.84,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577690661
accent,4.428571429,2.794,1.85,2.2,3.26,3.8,2.423076923,4.27,4.052631579,0.473684211,0.210526316,0.210526316,0.263157895,0.736842105,0.55,0.7,2.65,3.25,0.4,4.063626922,0.646017699,6.48,4.95,5.36,6.48,NA,1.48,0.598,0.357,0.509,1.66,8.6,6,3.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571563601
acceptance,5.130434783,2.209,3.8,3.6,2.21,NA,NA,NA,2.941176471,0.235294118,1.117647059,2.882352941,0.352941176,2.882352941,0.473684211,1.157894737,2.842105263,1.473684211,0.631578947,4.213199663,0.259887006,6.84,4.3,6.49,6.84,NA,1.84,0.833,0.287,0.755,1.98,8.56,8,3.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621674657
accessible,4.130434783,1.756,3.75,3.4,1.8,NA,NA,NA,0.578947368,0.315789474,0.736842105,0.578947368,0.157894737,3.210526316,1.736842105,2.210526316,3.105263158,1.105263158,1.210526316,3.236942409,0.547169811,6.68,3.2,6.58,6.68,NA,1.68,0.796,0.41,0.645,1.94,9.94,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62251997
acclaim,3.952380952,1.362,2.85,1.95,2.04,NA,NA,NA,2.5,0.285714286,0.642857143,1.285714286,0.214285714,2.714285714,0.111111111,0.611111111,2.833333333,3.166666667,0.444444444,3.36333978,0.327102804,6.1,3.95,5.77,6.1,NA,1.1,0.562,0.809,0.718,1.68,12.11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585277021
accompany,5.782608696,2.386,3.7,3.05,3.07,NA,NA,NA,1.235294118,0.411764706,1.117647059,1.176470588,0.176470588,2.941176471,2.523809524,2.333333333,1.80952381,0.619047619,1.904761905,3.121920163,0.391666667,5.47,3.85,5.63,5.47,NA,0.47,0.833,0.406,0.585,2.05,10.75,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586289108
accomplish,4.217391304,2.476,3.75,3.4,2.33,NA,NA,NA,1.5,0.555555556,1.055555556,2.333333333,0.777777778,2.111111111,1.352941176,2.117647059,2.411764706,1.588235294,1.294117647,3.011274448,0.213333333,7.45,5.16,7.27,7.45,NA,2.45,0.929,0.673,0.816,1.88,7.84,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572190344
accumulate,2.523809524,1.477,3.45,3.9,3,NA,NA,NA,1.266666667,0.066666667,2.333333333,0.333333333,0.266666667,3.733333333,0.85,2.6,2.5,1,0.75,4.05804258,0.458333333,6.33,2.73,6.15,6.33,NA,1.33,0.573,0.536,0.607,1.87,12.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529359937
accuracy,3.047619048,1.887,3.6,3.5,1.85,NA,NA,NA,2.277777778,0.666666667,1.111111111,0.5,0.666666667,4.222222222,0.882352941,2.941176471,3.529411765,1.647058824,0.882352941,4.467707881,0.394117647,6.32,3.33,6.74,6.32,NA,1.32,0.604,0.481,0.802,1.88,9.71,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611670196
accursed,3.238095238,1.532,NA,NA,1.93,NA,NA,NA,2.043478261,0.130434783,0.391304348,1.52173913,0.130434783,2.260869565,0.466666667,0.733333333,2.066666667,1.533333333,0.466666667,2.87153682,0.32885906,3.21,5.33,4.13,NA,3.21,1.79,0.135,0.745,0.345,NA,12.71,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264290929
ache,2.904761905,2.107,1.65,1,3.43,3.8,2.913043478,4.82,1,0.0625,1.1875,4.375,0.0625,1.0625,2.736842105,3.052631579,3.210526316,2.578947368,2.684210526,4.441459799,0.556451613,3.27,4.3,4,NA,3.27,1.73,0.146,0.76,0.312,1.4,5.79,2,3.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296162575
acknowledge,4.545454545,2.497,4.35,3.4,2.03,NA,NA,NA,2.875,0,0.4375,1.75,0.125,2.4375,0.526315789,0.789473684,3.789473684,2.842105263,0.631578947,3.522062485,0.37704918,6.43,3.26,6.11,6.43,NA,1.43,0.786,0.37,0.661,1.99,9.11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564955115
acoustic,2.409090909,1.699,3.1,2.7,3.28,NA,NA,NA,3.823529412,0.117647059,0.294117647,0.588235294,0.117647059,1,0.619047619,1.476190476,3.80952381,1.476190476,0.904761905,3.851421515,0.623762376,7.1,4,5.79,7.1,NA,2.1,0.542,0.462,0.536,0.96,12.39,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608071029
acquire,3.95,2.134,2.55,1.8,2.93,3.2,1.608695652,2.2,0.823529412,0.647058824,2.176470588,1,0.588235294,2.823529412,0.761904762,3.571428571,2.142857143,1.476190476,0.714285714,3.266481733,0.277372263,5.5,4.86,7,5.5,NA,0.5,0.833,0.468,0.7,1.96,9.94,6,4.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.613898695
acquisition,4,1.875,3.55,3,2.6,NA,NA,NA,1.105263158,0.157894737,1,0.421052632,0.263157895,2.842105263,0.80952381,2.047619048,2.19047619,1.761904762,0.666666667,2.939695402,0.463636364,5,4.36,5.93,5,5,0,0.698,0.509,0.736,1.62,13.63,12,NA,2.9,3.64,3.76,2.94,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.626981378
acquit,4.894736842,1.398,2.75,1.95,2.13,NA,NA,NA,2.8,0.133333333,0.266666667,0.266666667,0,2.266666667,0.105263158,0.421052632,1.947368421,1.736842105,0.105263158,3.228070938,0.488372093,5.6,4.56,5.45,5.6,NA,0.6,0.583,0.571,0.611,1.1,13.22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273327678
activist,6.043478261,1.708,3.2,3.65,3.34,NA,NA,NA,2.4,0.1,0.25,0.8,0.2,3.2,1.421052632,2,3.315789474,2.947368421,1.210526316,3.612115176,0.446043165,6.24,5.26,5.86,6.24,NA,1.24,0.531,0.653,0.877,1.64,11.8,12,NA,NA,NA,NA,NA,NA,3.2,5.9667,2.3333,1.1,1.6667,4.4333,1.8,1.9,1.2667,1.7333,0.7333,1.6333,0.9333,1.0333,1.6,0.60275948
activity,4.291666667,2.818,2.55,3,2.72,NA,NA,NA,3.117647059,0.529411765,1.823529412,2.294117647,0.941176471,3.823529412,3.9,3.75,3.65,3,3.15,4.722481211,0.262910798,6.21,4.86,6.45,6.21,NA,1.21,0.701,0.66,0.807,2.01,6.47,8,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672370374
actuality,3.277777778,1.398,2.95,4.15,1.96,NA,1.692307692,NA,1.785714286,0.571428571,0.642857143,1.142857143,0.571428571,2.642857143,0.526315789,0.894736842,2.631578947,1.157894737,0.526315789,2.973294453,0.281553398,5.4,5.55,5.24,5.4,NA,0.4,0.75,0.464,0.6,1.62,12.38,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462364078
adapt,4.090909091,2.13,1.95,1.9,2.41,2.9,NA,2.73,1.8125,0.1875,0.375,1.0625,0.125,3.125,1.1,1.55,2.5,1.2,1.15,3.354072896,0.448598131,5.84,3.9,5.75,5.84,NA,0.84,0.74,0.355,0.551,1.99,9,8,3.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568345189
add,2.454545455,3.227,1.6,1,3,3.3,2.285714286,2.2,0.739130435,0.043478261,0.434782609,1.47826087,0.043478261,2.47826087,0.4,2.2,2.95,1.25,0.25,2.665470387,0.466666667,6.23,4,6.79,6.23,NA,1.23,0.728,0.49,0.554,2.06,5.1,2,4.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.650098622
additional,2.25,2.479,3.4,2.65,2.43,NA,NA,NA,1.303030303,0.454545455,1.03030303,0.818181818,0.484848485,3.060606061,0.263157895,0.578947368,1.473684211,0.473684211,0.105263158,3.198806045,0.36440678,6.15,3.61,4.95,6.15,NA,1.15,0.673,0.462,0.526,2.14,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686685801
adequate,4,2.124,3.15,2.9,1.97,NA,NA,NA,2,0.058823529,0.647058824,1.588235294,0.058823529,3.058823529,0.95,1.15,2.6,1.2,1.05,3.445333226,0.404761905,4.7,3.64,6.89,NA,4.7,0.3,0.854,0.264,0.705,2.08,10.35,8,4.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609547198
adjacent,2.238095238,1.839,3.55,3.7,3.63,NA,1.92,NA,0.888888889,0.111111111,1.333333333,0.166666667,0.333333333,4.222222222,1,1,1.555555556,0.222222222,0.444444444,4.279694674,0.582677165,5.15,2.78,4.27,5.15,NA,0.15,0.645,0.276,0.536,1.85,11.05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635442674
adjective,2.347826087,1.415,2.9,3.7,2.43,NA,NA,NA,2.1,0.35,0.3,0.35,0.35,2.3,0.5,0.888888889,2.833333333,3,0.555555556,2.784249363,0.347826087,5.95,3.64,6.11,5.95,NA,0.95,0.57,0.316,0.569,0.82,8.6,4,3.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538780391
adjourn,3.541666667,1.826,2.85,2.5,2.54,2.1,2.041666667,2.1,1.727272727,0.272727273,0.363636364,0.454545455,0.363636364,1.454545455,1.266666667,1.266666667,2.533333333,1.466666667,0.8,2.036096421,0.31372549,5.5,3.15,5.75,5.5,NA,0.5,0.385,0.456,0.475,1.2,12.59,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328987658
adjust,2.608695652,2.459,2.45,2.35,2.93,3.5,1.875,2.45,1.277777778,0.111111111,2.5,1.166666667,0.055555556,3.055555556,2.6,3.55,2.75,1.65,2.4,3.629912894,0.367346939,5.76,3,6,5.76,NA,0.76,0.647,0.327,0.638,1.96,8.43,2,3.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562614799
adjuster,2.523809524,1.322,NA,NA,3.23,NA,NA,NA,1.588235294,0.176470588,1,0.058823529,0.235294118,2.529411765,0.95,2.05,2.15,1,0.8,2.768003946,0.442105263,4.25,3.5,5.84,NA,4.25,0.75,0.51,0.54,0.76,NA,11.28,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230965674
administer,5,1.935,3.45,3.75,2.53,NA,2.958333333,NA,2.444444444,0.055555556,1.444444444,0.944444444,0,3.666666667,0.4,2.05,1.5,1.55,0.35,4.076825761,0.428571429,4.4,3.86,6.33,NA,4.4,0.6,0.635,0.425,0.86,1.9,9.42,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555990934
admirer,5.909090909,2.182,2.45,2.6,2.93,NA,NA,NA,2.095238095,0.142857143,1.047619048,1.476190476,0.142857143,3.238095238,0.047619048,0.523809524,3,1.333333333,0.095238095,3.62215854,0.380116959,7.05,6,6.27,7.05,NA,2.05,0.796,0.72,0.65,1.64,8.78,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505845428
admissible,3.181818182,1.58,3.55,3.25,1.88,NA,NA,NA,2.421052632,0.684210526,0.789473684,0.684210526,0.684210526,2.157894737,0.722222222,1.166666667,3.111111111,1.333333333,0.444444444,2.950760282,0.234042553,5.16,2.9,6.21,5.16,NA,0.16,0.78,0.528,0.642,1.15,13.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379745275
admission,4.583333333,2.26,2.85,2.05,2.83,NA,2.333333333,NA,2.052631579,0.263157895,1.315789474,1.789473684,0.157894737,3.052631579,1.631578947,1,1.842105263,1.526315789,0.736842105,3.560182242,0.335365854,5.91,3.69,5.54,5.91,NA,0.91,0.802,0.415,0.732,1.78,8.84,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601446927
adolescent,5.5,1.978,3.55,4.05,3.48,NA,NA,NA,2.529411765,0,0.411764706,0.764705882,0.235294118,3.470588235,1.35,1.4,2.55,1.8,1.5,3.882325933,0.468253968,5.38,4.2,4,5.38,NA,0.38,0.781,0.68,0.509,1.5,11.05,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55406177
adopt,5.772727273,2.378,1.85,1.85,2.36,3.4,NA,2.7,1.222222222,0.055555556,1.055555556,1.222222222,0.111111111,1.888888889,0.65,1.65,2.05,1.35,0.9,2.26165717,0.33,6.9,4.71,5.45,6.9,NA,1.9,0.694,0.612,0.701,2.07,7.83,4,2.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604285538
adoption,6.130434783,2.38,2.75,2.8,3.03,NA,NA,NA,2.15,0.2,0.8,0.7,0.15,2.85,0.111111111,0.666666667,1.833333333,0.555555556,0.5,3.238146167,0.394160584,6.68,4.82,5.62,6.68,NA,1.68,0.625,0.566,0.589,1.87,7.79,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615005791
adorable,4.458333333,2.731,2.85,2.9,1.86,NA,NA,NA,1.722222222,0.222222222,0.444444444,1.055555556,0.222222222,3.944444444,0.5,0.75,2.2,1.05,0.7,4.076932363,0.489051095,7.4,4.66,6.83,7.4,NA,2.4,0.969,0.519,0.457,1.43,6.94,4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287686437
adulterer,5.571428571,1.322,3.35,4,2.96,NA,NA,NA,2.368421053,0,0.473684211,0.578947368,0.052631579,2.684210526,0.9,1.4,1.75,1.65,1.85,3.20512347,0.435897436,2.77,5.68,3.2,NA,2.77,2.23,0.229,0.814,0.407,NA,11.63,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212778404
adultery,6.227272727,2,2.95,3.55,2.79,NA,NA,NA,2.05,0.05,1.6,1.45,0.2,2.95,1.65,2.6,2.7,2.9,2.75,3.460515421,0.34939759,2.81,6.42,3.33,NA,2.81,2.19,0.12,0.922,0.51,1.29,11.84,10,4.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506885409
advantage,3.181818182,3.051,3.5,3.65,2,NA,2,NA,1,0.052631579,0.210526316,0.263157895,0.052631579,1.631578947,0.9,0.95,1.45,1.2,0.8,1.751285166,0.491803279,6.71,3.95,7.19,6.71,NA,1.71,0.917,0.548,0.859,2.19,9.32,8,4.69,3.59,3.61,3.73,3.45,3.72,2.6,1.36,0.36,1.68,2.36,5.2,1.4,3.24,0.56,3.44,0.48,1.04,0.56,0.56,2.12,0.665004075
adventurous,4.363636364,1.799,3.95,3.85,1.95,NA,NA,NA,1.388888889,0.5,0.388888889,2.222222222,0.388888889,2.222222222,3.052631579,2.684210526,3.578947368,2.052631579,1.894736842,2.918928287,0.2578125,7.37,6.67,5.71,7.37,NA,2.37,0.969,0.898,0.722,1.83,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489100724
adverse,3.086956522,1.568,2.3,2.4,2.23,2.1,NA,1.7,2.064516129,0.709677419,0.870967742,2.032258065,0.677419355,2.451612903,1.157894737,1.526315789,2.842105263,2.263157895,1.157894737,3.215839126,0.201465201,3.68,3.89,3.35,NA,3.68,1.32,0.323,0.61,0.385,1.91,10.72,12,4.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576778233
advertise,5.434782609,1.929,2.65,3.55,2.81,NA,NA,NA,3.368421053,0.421052632,1,1.157894737,0.421052632,4.210526316,0.318181818,0.5,2.545454545,1.090909091,0.318181818,4.870925115,0.358208955,5.16,4.29,5.74,5.16,NA,0.16,0.5,0.529,0.58,1.72,9.63,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515185773
advertising,5.428571429,2.58,3.6,3.7,3.88,NA,2.379310345,NA,4.375,0,0.1875,0,0.5,4.4375,0.55,1.2,3.5,2,0.6,5.553229097,0.467105263,4.68,3.25,5,NA,4.68,0.32,0.622,0.608,0.632,1.45,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646105587
