Word,Socialness,LgSUBTLWF,OLD,PLD,Concreteness,Imageability,BOI,SER,Auditory.Lancaster,Gustatory.Lancaster,Haptic.Lancaster,Interoceptive_Lancaster,Olfactory.Lancaster,Visual.Lancaster,Foot_leg.Lancaster,Hand_arm.Lancaster,Head.Lancaster,Mouth.Lancaster,Torso.Lancaster,Minkowski3.perceptual.Lancaster,Exclusivity.perceptual.Lancaster,Valence_Warriner,Arousal_Warriner,Dominance.Warriner,Val_pos,Val_neg,Val_ext,Valence.Mohammad,Arousal.Mohammad,Dominance.Mohammad,SemanticDiversity,AoA.Rating,AoA.Test,GenderAssociation,Emotion.Troche,Polarity.Troche,Social.Troche,Moral.Troche,Thought.Troche,Social.Binder,Human.Binder,Communication.Binder,Self.Binder,Cognition.Binder,Benefit.Binder,Harm.Binder,Pleasant.Binder,Unpleasant.Binder,Happy.Binder,Sad.Binder,Angry.Binder,Disgusted.Binder,Fearful.Binder,Surprised.Binder,ANS
racetrack,3.45,1.968,3.75,3.7,4.89,NA,3.826086957,NA,2.222222222,0,0.555555556,0.333333333,0.777777778,4.277777778,2.047619048,1.523809524,2.571428571,0.952380952,0.761904762,4.480303079,0.523809524,5.76,5.24,5.04,5.76,NA,0.76,0.708,0.808,0.624,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502910733
racial,4.772727273,2.204,1.9,1.9,2.32,NA,NA,NA,1.944444444,0,0.055555556,0.888888889,0,2.888888889,0.142857143,0.380952381,1.80952381,0.904761905,0.095238095,3.180213953,0.5,3.65,4.05,4,NA,3.65,1.35,0.292,0.519,0.513,1.28,10.89,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59459728
rack,1.523809524,2.6,1.1,1,4.48,5.3,4.68,1.91,0.864864865,0.108108108,2.918918919,0.162162162,0.162162162,4.135135135,0.529411765,2.058823529,2.235294118,0.588235294,1.823529412,4.582578095,0.482200647,5.55,4.52,5.12,5.55,NA,0.55,0.385,0.373,0.409,1.63,6.26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554747581
racy,3.5,1.699,1.8,1.75,1.93,3.3,NA,3.1,2.2,0.55,1.25,2.15,0.25,4,0.555555556,1.111111111,2.888888889,1.277777778,0.444444444,4.426314419,0.360576923,4.63,5.39,6.04,NA,4.63,0.37,0.427,0.566,0.39,1.41,11.33,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322754264
radial,2.409090909,1.415,1.9,1.95,2.93,NA,NA,NA,0.545454545,0.272727273,1,0.818181818,0.636363636,3,0.25,1.083333333,2.416666667,0.083333333,0.25,3.071892256,0.434782609,4.71,3.61,5.06,NA,4.71,0.29,0.439,0.404,0.5,1.09,11.31,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567179322
radiant,3.409090909,2.045,2.6,2.5,2.45,NA,1.739130435,NA,0.75,0.1875,0.5,1.0625,0.25,4.25,0.1,0.2,2.35,0.45,0.15,4.282390207,0.580357143,7.29,5.03,6.54,7.29,NA,2.29,0.888,0.717,0.791,1.6,9.68,6,2.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454270035
radiation,2.318181818,2.623,2.4,3.3,3.43,NA,NA,NA,0.5,0.277777778,0.944444444,2.444444444,0.222222222,1.277777778,1.666666667,1.833333333,1.777777778,0.833333333,1.722222222,2.605726374,0.392156863,3.32,4.56,4.06,NA,3.32,1.68,0.167,0.741,0.536,1.16,11.44,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606220245
radioactivity,2.19047619,1.623,5.4,5.9,3.44,NA,NA,NA,0.941176471,0.235294118,0.529411765,1.647058824,0.235294118,1.470588235,1,1.047619048,2.047619048,1.19047619,1.19047619,2.053286442,0.279069767,3.12,6.09,2.6,NA,3.12,1.88,0.24,0.91,0.696,0.87,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482006937
radiologist,4.590909091,1.322,NA,NA,4.52,NA,4.913043478,NA,1.176470588,0.117647059,0.235294118,0.235294118,0.117647059,3.705882353,1.052631579,1.736842105,2.684210526,1.526315789,1.578947368,3.745686668,0.642105263,5.45,4.55,5.43,5.45,NA,0.45,0.49,0.423,0.634,NA,12.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297160953
radiology,2.238095238,2.017,3.7,4.15,2.83,NA,NA,NA,0.5,0,0.0625,0.375,0,2.3125,0.590909091,0.863636364,1.636363636,0.636363636,0.727272727,2.323541065,0.711538462,4.89,4.27,5.05,NA,4.89,0.11,0.459,0.46,0.574,NA,12.61,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436510473
raffle,4.043478261,1.973,2.05,1.6,3.88,4.9,2.916666667,2.8,2.421052632,0,0.736842105,0.421052632,0,3,0.210526316,1.473684211,2.315789474,1.052631579,0.421052632,3.466779415,0.456,5.37,5.05,4.29,5.37,NA,0.37,0.64,0.51,0.454,1.08,9.22,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332526088
rage,5.130434783,2.762,1.1,1.35,3.13,3.6,1.5,2.82,2.15,0.3,0.7,3.65,0.15,2.5,1.578947368,2.157894737,3.105263158,3.210526316,1.526315789,4.208973162,0.37037037,2.5,6.62,4.17,NA,2.5,2.5,0.082,0.888,0.658,1.55,8.79,4,5.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587862909
raggedy,2.8,NA,NA,NA,2.72,NA,NA,NA,0.176470588,0,1.352941176,0.235294118,0.117647059,4,0.588235294,1.764705882,2,0.470588235,0.588235294,4.051351306,0.68,3.27,4.65,4.83,NA,3.27,1.73,0.198,0.531,0.314,NA,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raging,4.695652174,2.22,1.45,1.75,3.07,NA,NA,NA,3.470588235,0,0.470588235,3.647058824,0,3.529411765,0.75,1.6,3.1,2.55,1.2,5.12208858,0.328042328,3.25,5.38,4.16,NA,3.25,1.75,0.219,0.927,0.598,1.77,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486400515
raid,4.565217391,2.64,1.35,1,2.88,3.4,1.958333333,2.83,2.5625,0.125,0.9375,0.25,0.125,3.1875,1.789473684,1.473684211,1.789473684,0.894736842,1.210526316,3.685392121,0.426086957,3.35,5.62,3.91,NA,3.35,1.65,0.35,0.726,0.56,1.51,9.53,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608753681
railroad,2.590909091,2.803,3.05,2.8,5,NA,4.333333333,NA,2.939393939,0.090909091,1.424242424,0.666666667,0.606060606,4.151515152,1.363636364,1.151515152,2.363636364,0.515151515,0.606060606,4.647103398,0.411042945,5.68,3.95,5.29,5.68,NA,0.68,0.591,0.592,0.5,1.19,6.06,2,5.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628205359
